ID,"Source (Author, Title, & Details)",Melville Reference Codes
-,Genesis:,"M: 534b; R: 178; MD: 178, 181a, 298a, 300; P: 178; LRM: 520; BC: 495; CM: 178; BP: 441b; JM: 377b, TIM: 377b, 441b, 489; BB: 198; WW: 489"
-,Exodus:,"MD: 542, 642; BP: 166; C: 377b; TIM: 377b"
-,Numbers:,T: 512c; BP: 166; JM: 441b
-,Deuteronomy:,JM: 441b
-,Joshua:,C: 377b
-,Judges:,"MD: 681; HF: 621; BT: 594, 618, 621; TIM: 377b, 441b"
-,I Samuel:,C: 461b; BB: 172a
-,II Samuel:,"BC: 271, 495; C: 461b, 512b; Unspec: 316"
-,I Kings:,"MD: 128a, 178, 289, 300, 334, 397a, 642; P: 194; C: 377b, Unspec: 178"
-,II Kings:,O: 511a; BC: 557a
-,III Kings:,O: 439a; MD: 289
-,Esther:,BT: 594
-,Job:,"M: 499c; R: 375, 499c; WJ: 375, 499c; MD: 128a, 229a, 232, 273a, 273b, 291b, 297, 300, 311, 334, 339, 361, 375, 397a, 408, 439a, 499c, 539, 558, 595, 597, 623, 651a; P: 481b, 499c; B: 180a, 421a, 499c, 586, 604, 711; E: 499c; CM: 499c; BP: 512b; C: 377b; JM: 441b, 489; TIM: 377b, 489; BB: 476, 499c; Unspec: 297"
-,Psalms:,M: 33
-,Ecclesiastes:,"M: 377a, 511a; MD: 148a, 168, 623; P: 547a, 551a, 576c; IMC: 179, 325, 663; BP: 512b; C: 461b, 512b; Unspec: 194"
-,Song of Solomon:,M: 33; BC: 560; WW: 489
-,Jeremiah:,"MD: 300, 654; E: 654"
-,Ezekiel:,PMP: 621; BC: 271
-,Daniel:,M: 576d; BP: 377b; DO:
-,Jonah:,"MD: 334, 339, 408; BB: 377b"
-,Wisdom of Solomon:,Unspec: Ecclesiasticus: CM: 146
-,"The New Testament ... The Book of Psalms (New York: American Bible Society, 1844) (*Sealts #65]:","Unspec: 146!, 183, 623"
-,Matthew:,"MD: 334, 439a; P: 365a, 481b; B: 365a, 497; IMC: 663; CM: 434, 441a; C: 377b; TIM: 489; WW: 489"
-,Mark:,MD: 256; CM: 434; C: 377b
-,Luke:,BC: 439a; CM: 434; C: 377b; BB: 508c; MG: 489
-,John:,"MD: 256, 423; BC: 342, 618; CM: 434, 439a; C: 377b; JM: 489; TIM: 377b; BB: 646a; WW: 489"
-,Acts:,"C: 377b; BB: 345, 554"
-,I Corinthians:,"MD: 383; CM: 383, 544, 562, 618, 686a, 705; Unspec: 139"
-,II Corinthians:,CM: 544; WW:
-,Galatians:,C: 652
-,II Thessalonians:,"C: 377b; BB: 229a, 377b"
-,I Timothy:,CM: 629
-,II Timothy:,JM: 489
-,James:,"TIM: 377b, 489"
-,Jude:,"HHM: 291a; MD: 291a, 334a, 501"
-,Revelation:,"MD: 556a!, 595; ATT: 453; CM: 219, 334, 459c; BP: 377b; C: 512b; JM: 193, 377b, 441b, 489; BB: 439a; WW: 489; MG: 489"
-,“The Big Bear of Arkansas”,see 713a.
63a.,"Bigelow, Jacob, Nature in Disease (1854).",CM: 504b
-,"Bigelow, Jacob",see also 579a.
64,"Bird, Robert Montgomery, Nick of the Woods; or, The Jibbenainosay (1837).",CM: 254
-,Blackwood’s Edinburgh Magazine,"see 57, 204, 205, 522a. 65."
-,"Blake, Andrew, Tremens (1830).",R: 156?
-,Delirium,
66,"Blake, William.",C: 77; Unspec: 139 See also 290.
*66a.,"Boaden, James, An Inquiry into the Authenticity of Various Pictures and Prints, Which, from the Decease of the Poet to Our Own Times, Have Been Offered to Sources 66a-77b the Public as Portraits of Shakespeare (London: Triphook, 1824). [*Sealts #71]",Unspec: 440a
67,"Boccaccio, Giovanni, The Decameron (1349-51).",PB: 621; C: 315
68,"Boccaccio, Giovanni, Life of Dante (1477). P:188?",
69,"The Book of Common Prayer, and Administration of the Sacraments; and Other Rights and Ceremonies of the Church, According to the Use of the Protestant Episcopal Church in the United States of America: Together with the Psalter, or Psalms of David (New York: Harper, 1845, or later edition). [*Sealts #409; see also Sealts #410]",MD: 552; CM: 686a?
70,"The Book of Mormon, trans. Joseph Smith, Jr. (1830).",M: 424?
-,The Book of Peace,see 12b.
71,"Borrow, George, Lavengro, the Scholar—the Gypsy—the Priest (1851).",P: 181; Unspec: 92
-,Boston Pearl and Literary Gazette,see 156b.
-,"World. Performed ... in the Years 1766, 1767, 1768, and 1769, Translated from the French by John Reinhold Forster, FA.S. (London: Nourse [etc.], 1772). [*Sealts #85]","M: 480; Unspec: 213, 226, 228"
74,"Bradford, Alexander W., American Antiquities and Researches into the Origins of the Red Race (New York: Wiley 1841). [*561]",T: 561; MD: 561
-,"Putnam,",
74a.,"Brandt, Sebastian, “The Ship of Fools"" [published first as Das Narrenschiff in 1494].",CM: 330a?
75,"Brewer, Ebenezer Cobham, Brewer’s Dictionary of Phrase and Fable (1870).",Unspec: 489?
76,"Brewster, David, The Life of Sir Isaac Newton (New York, 1831). [*571]",O: 571; MD: 571
76a.,"Bridge, Horatio, Journal of an African Cruiser, edited by Nathaniel Hawthorne (1845).",WJ: 291a?; MD: 291a?
77,"Briggs, Charles Frederick, The Adventures of Harry Franco (1839).","R: 274a; WJ: 274a, 490"
72,"Boswell, James, The Life of Samuel Johnson, LL.D., ed. John Wilson Croker (London: Murray, 1835), 10 vols. [*HH; Sealts #84]",MD: 229!; CM: 254; BB: 345; Unspec: 213
77a.,"Briggs, Charles Frederick, “Letter to John Waters from Hezediah Starbuck, Third"" by Harry Franco [pseud.], Knickerbocker (Aug. 1840). [*274a]",MD: 274a See also 747b.
*73.,"Bougainville, Louis-Antoine de, Comte, A Voyage round the",
77b.,"Briggs, Charles Frederick, ""Letters of Ferdinand Mendez Pinto,” Weekly Mirror (1846-47). [*274a]","OZ: 274a, 557"
*78.,"Briggs, Charles Frederick, The Trippings of Tom Pepper; or, The Results of Romancing. An Autobiography, by Harry Franco [pseud.] (New York: Burgess, Stringer, 1847), vol. 1 only. [*Sealts #86a]",CM: 313
78a.,"Briggs, Charles Frederick, Working a Passage (1844).","R: 274a, 334a; WJ: 274a"
*79.,"A British Seaman, Life on Board a Man-of-War; Including a Full Account of the Battle ofNavarino (Glasgow: Blackie, Fullarton, & Co., 1829). [*490, *491]","WJ: 490, 491!"
-,Brooklyn Daily Eagle,see 757.
-,"""Brought to the Gangway”",see 441.
*80.,"Broughton, Thomas Duer, Selections from the Popular Poetry of the Hindoos. Arranged and Translated by Thomas Duer Broughton (London: Martin, 1814). [*450; *Sealts #87a]",TIM: 512b; Unspec: 450
-,"Brown, Charles Brockden.",E: 64
-,"Sources 77b-84a History of the Whale Fishery (New York: Harper, 1846). [*Sealts #88]","RE: 182, 213, 226, 394, 557, 614, 694; M: 226; R: 212, 394, 614; WJ: 416, 662a; MD: 84, 133, 147, 163a, 165, 178, 182!, 198, 201, 213, 228, 229, 345a, 377c, 382!, 487, 602, 718"
